upstream_regulator,logratio,type,activation_state,activation_zscore,pvalue_overlap,target_molecules,mechanistic_network
miR-324-5p (miRNAs w/seed GCAUCCC),NA,mature microrna,NA,-0.968,0.0201,"AGTRAP,ALPK3,ARSI,CFLAR,CIT,CRABP2,DAAM2,DKK2,E2F7,EBF1,EGR2,EPHB3,FAM43A,FOXO1,GFPT2,GPX3,GRIN2A,ITGA10,KLF6,LMOD1,RAB11FIP4,S1PR1,SCN7A,SLC19A3,SOCS1,STUM,TLDC2,TMEM35A,TMEM37,TXNRD1,ZHX3",NA
IRF8,NA,transcription regulator,NA,-0.307,0.0202,"ATF3,EGR2,IFI44L,IL12A,KLF6,LIF,LSP1,PRDM1",NA
miR-3654 (miRNAs w/seed ACUGGAC),NA,mature microrna,NA,-1.462,0.0206,"ABAT,ADARB1,ADHFE1,AMOT,CACNB2,CENPP,DNAJC6,FAM46C,FGF14,GFPT2,GPM6B,HMMR,KCNE3,NCOA3,RAPGEF5,SLC6A6,SYN2,TMEM200A,TNFSF15,TUBB,USP53,VGLL3",NA
miR-4668-5p (miRNAs w/seed GGGAAAA),NA,mature microrna,NA,-1.166,0.0207,"ACVR1C,ADH1B,AMOT,ANGPTL1,AP1M1,CCR1,CEBPD,CORO2B,CREB5,DMC1,FAM20A,GLUL,GPAT3,INHBB,KCNE3,LBH,NID1,NPAS2,PAIP2B,PDLIM5,PIEZO2,PIFO,PPP1CB,RASL11B,RSPO2,SAMD4A,SLC22A23,SSH2,STEAP4,SULT1C2,SYN2,TMEM217",NA
miR-384-3p (and other miRNAs w/seed UUCCUAG),NA,mature microrna,NA,-1.343,0.0208,"ADARB1,ADH1B,ADH1C,C4orf46,CCDC71L,CITED2,CLIC2,CYP24A1,FAM46C,FZD5,GALNT15,GPM6B,ITGA10,LFNG,MCTP1,NOV,PDE5A,PDPN,PPP1CB,RNF144B,SAMD12,SLC7A14,THBS1,UBASH3B,ULK2",NA
miR-579-3p (and other miRNAs w/seed UCAUUUG),NA,mature microrna,NA,0.47,0.0208,"COL4A3,DOK6,FNDC5,FOXO3,HSPA4L,KLF9,LIF,NEGR1,PIFO,PRG4,PSAT1,TNFRSF11B",NA
miR-3686 (and other miRNAs w/seed UCUGUAA),NA,mature microrna,NA,-1.12,0.0208,"ABAT,ARHGAP28,CFLAR,COL4A3,CTTNBP2,CXCL12,DKK2,EOGT,FIBIN,GPAT3,HMGB2,IRS2,KLF9,MMD,MXRA5,NCOA3,PRG4,RTKN2,SCARF1,SCN1B,SEMA6D,SOWAHA,SSH2,TSLP",NA
TAC1,NA,other,NA,-1.0,0.0208,"CYR61,HMOX1,LDB2,NGF,TNFRSF11B,TNFSF15",NA
CRH,NA,cytokine,NA,0.692,0.0208,"BDKRB2,DIO2,LEP,NR4A1,PRKCE",NA
infliximab,NA,biologic drug,NA,0.555,0.0208,"G0S2,MT1X,NAMPT,SLC7A5,VEGFA",NA
mitomycin C,NA,chemical drug,NA,-0.305,0.0208,"ATF3,BRCA1,PRKCE,TYMP,VEGFA",NA
NRIP1,NA,transcription regulator,NA,NA,0.0208,"MMD,PDK4,PTX3,SCD,TNFAIP6",NA
miR-345-3p (and other miRNAs w/seed CUGAACU),NA,mature microrna,NA,0.0,0.0209,"AOX1,ARHGAP29,B3GALT2,DDAH1,DMC1,EGR2,FAM46A,ITGA10,LMO3,MEX3B,MYOZ2,NCKAP5,PIK3R1,SIPA1L2,SLC6A6,TGFB2,ZC2HC1C,ZHX3,ZSCAN31",NA
miR-3690 (miRNAs w/seed CCUGGAC),NA,mature microrna,NA,-0.788,0.0209,"ADAT2,AHCTF1,APBB2,CBS/CBSL,CCDC69,CD302,COL11A1,CXCL12,GALM,GPM6B,GPR68,INPP5A,KCNK15,KIAA1755,KLHDC7B,LEP,LIF,LMOD1,MAFF,MMP15,N4BP3,PKDCC,PPP1R1B,PXDC1,RGS6,SORBS1,SOWAHA,SYNPO2,TMEM119",NA
NFAT (complex),NA,complex,NA,NA,0.0209,"ATF3,CFLAR,NR4A1",NA
BMPR2,NA,kinase,NA,NA,0.0209,"CXCL12,EPHA4,TNFRSF11B",NA
CTR9,NA,other,NA,NA,0.0209,"CXCL12,EGR3,USP53",NA
vasoactive intestinal peptide,NA,biologic drug,NA,NA,0.0209,"IL12A,TNFRSF11B,VEGFA",NA
SUMO1,NA,enzyme,NA,NA,0.0209,"ATP2A2,CIDEC,SLC51B",NA
epicatechin gallate,NA,chemical drug,NA,NA,0.0209,"GDF15,VCAM1,VEGFA",NA
miR-4283 (miRNAs w/seed GGGGCUC),NA,mature microrna,NA,-0.305,0.021,"ADORA1,ALDH3A1,ARHGEF28,ARSI,ASIC2,ATF3,C1QTNF1,CPM,CXCL12,DAAM2,EBF1,EDA,EMID1,FAIM2,FOXO1,GDF5,GGT5,GLUL,GPAT3,HRCT1,HSPA12B,ICOSLG/LOC102723996,JADE1,KALRN,KLF9,METTL7A,MMP15,MYO16,N4BP3,NAV3,NEK11,NID1,PCDHGC5,PER3,PKNOX2,POU2F2,PRKCE,RAMP3,RNF144B,SAMD12,SCD,SLC51B,SLC5A6,SLC6A9,SLC7A6,SORL1,SOX9,STUM,TSPAN11,ULK2,YIF1B,ZHX3",NA
miR-330-3p (and other miRNAs w/seed CAAAGCA),NA,mature microrna,NA,0.983,0.021,"ADAMTS5,APCDD1,ASIC2,C10orf10,CALCOCO2,CAMK4,CTTNBP2,DIO2,EGR2,FAM63B,FOXO1,FRK,GPR37,GRAMD4,LCTL,PDE5A,PIK3R3,PPP1R1B,RAP2B,RSPO2,SORL1,STEAP4,SYNPO2,VASH2,VGLL3,WARS",NA
miR-3146 (miRNAs w/seed AUGCUAG),NA,mature microrna,NA,-0.839,0.0211,"ADH1B,ASB5,BDKRB2,CENPP,COL4A4,DNAJC6,FAM46A,FGD4,LBH,LHFPL2,LRRTM2,STON1,TBX18,TJP2,USP53",NA
miR-4645-5p (and other miRNAs w/seed CCAGGCA),NA,mature microrna,NA,-1.378,0.0212,"ACKR2,ADORA1,AGTRAP,ALPK3,APBB2,ARHGAP42,ARHGEF28,ARSI,COL4A4,CPA4,CPM,CSRNP3,DNM1,EDA,FAM107A,FAM20A,FAM46C,FOXO3,FRK,GDF5,GXYLT2,HIF3A,IGDCC4,JADE1,KCND3,KCNK6,KCNS1,LGR4,LIF,LMOD1,LOC102724788/PRODH,MARCKSL1,MPP3,PCYT2,PDPN,PHC2,PLB1,PPP1R1B,PREB,PRSS35,RAP2B,SLC7A14,SOCS1,STC1,SYN2,SYNPO2,THBS1,TNFSF15,TXNRD1",NA
miR-4433a-3p (miRNAs w/seed CAGGAGU),NA,mature microrna,NA,-0.825,0.0212,"ADAM12,ARHGAP28,ARMC8,C7,CALCOCO2,CDON,CEBPD,CTTNBP2,FAM20A,FKBP5,GRIN2A,HIF3A,JADE1,KIAA1755,LRRC25,LSP1,METTL7A,MOB3B,PDK4,PKD1L2,PLCXD3,PLXDC1,PNPLA2,RTKN2,SLC19A3,SLC5A6,SLC7A6,TBX18,USP53",NA
RARG,NA,ligand-dependent nuclear receptor,NA,1.982,0.0212,"COL4A1,CRABP2,DUSP1,EGR2",NA
mir-145,NA,microrna,NA,0.991,0.0212,"ACTA2,KLF5,SOX9,TAGLN",NA
KCNK9,NA,ion channel,NA,0.0,0.0212,"ACVR1C,GADD45B,LYPD3,SLC14A1",NA
ADAM17,0.471,peptidase,NA,0.0,0.0212,"ADAM12,ICOSLG/LOC102723996,TNFRSF11B,TSLP",NA
fasudil,NA,chemical drug,NA,-0.132,0.0212,"ACTA2,TAGLN,TGFB2,VCAM1",NA
miR-4752 (miRNAs w/seed UGUGGAU),NA,mature microrna,NA,-0.658,0.0213,"AMPH,ANGPTL1,CCL8,CILP,E2F7,EFR3B,FOLR3,GDF5,GDNF,INHBE,KCNS1,KLF15,NEGR1,NUAK1,PDZD2,PSAT1,SORT1,SPINT2,TMEM217,UBASH3B",NA
miR-933 (miRNAs w/seed GUGCGCA),NA,mature microrna,NA,0.384,0.0214,"ATP10A,CORO6,G0S2,LMF1,MEX3B,NR4A1,PER3,PKNOX2,PRKCE,RAP2B,SPTBN4,STARD7,TLDC2,WASF3",NA
HNF4A,NA,transcription regulator,NA,1.437,0.0214,"AASS,ACSL1,ACTA2,ADH1B,ALDH3A1,ANG,ANPEP,AP1M1,AQP3,ARMC8,ATP10A,AXIN2,BDH1,C10orf10,CBS/CBSL,CDC42EP3,CEBPD,CIDEC,CRABP2,DBP,DMC1,DNAJB4,ENC1,FAIM2,FAM46A,FOXO1,FRK,G0S2,GALM,GCHFR,GDF15,GPR37,HMGB2,HPS5,HSPA4L,INHBE,KLF15,LRRTM2,MAOA,MT1X,MT2A,NAMPT,NCOA3,NPC1L1,NUAK1,P2RY14,PDK4,PIK3R3,PLA2G4A,PRDM1,PRKCE,PSAT1,RPS6KA5,SAMHD1,SCD,SERPINA3,SLC19A3,SOX9,STARD7,STOM,SULT1C2,TCEAL3,TENM4,TNFAIP6,TNFRSF11B,TXNRD1,ZC2HC1C",NA
"8,9-epoxyeicosatrienoic acid",NA,chemical - endogenous mammalian,NA,NA,0.0214,"CD82,FABP4",NA
1L-6-hydroxymethyl-chiro-inositol 2-(R)-2-O-methyl-3-O-octadecylcarbonate,NA,chemical - kinase inhibitor,NA,NA,0.0214,"GDF15,MT2A",NA
11-dehydrocorticosterone,NA,chemical - endogenous mammalian,NA,NA,0.0214,"PDK4,PNPLA2",NA
C8,NA,complex,NA,NA,0.0214,"CFLAR,VCAM1",NA
Bcl9-Cbp/p300-Ctnnb1-Lef/Tcf,NA,complex,NA,NA,0.0214,"AXIN2,MMP7",NA
DKK3,NA,cytokine,NA,NA,0.0214,"CDKN2B,TAGLN",NA
NEK7,NA,kinase,NA,NA,0.0214,"IL12A,RGCC",NA
FFAR1,NA,g-protein coupled receptor,NA,NA,0.0214,"FABP4,IRS2",NA
STK17A,NA,kinase,NA,NA,0.0214,"MT1M,MT1X",NA
immune complex,NA,complex,NA,NA,0.0214,"SOCS1,VCAM1",NA
ZIC2,NA,transcription regulator,NA,NA,0.0214,"AXIN2,EPHA4",NA
AGRP,NA,other,NA,NA,0.0214,"DIO2,LEP",NA
Saa3,NA,other,NA,NA,0.0214,"COL1A1,TNFRSF11B",NA
CDK6,-0.659,kinase,NA,NA,0.0214,"FABP4,VEGFA",NA
C9,NA,other,NA,NA,0.0214,"CFLAR,VCAM1",NA
PKN1,NA,kinase,NA,NA,0.0214,"ACTA2,TAGLN",NA
MC1R,NA,g-protein coupled receptor,NA,NA,0.0214,"NR4A1,NR4A3",NA
SRY,NA,transcription regulator,NA,NA,0.0214,"MAOA,SOX9",NA
CRTC1,NA,transcription regulator,NA,NA,0.0214,"NEDD9,PER1",NA
C7,1.868,other,NA,NA,0.0214,"CFLAR,VCAM1",NA
tomatidine,NA,chemical - endogenous non-mammalian,NA,NA,0.0214,"SLC38A2,SLC6A9",NA
"1,1-bis(3'-indolyl)-1-(4-trifluoromethyl-phenyl)methane",NA,chemical reagent,NA,NA,0.0214,"ATF3,GDF15",NA
L-N6-(1-iminoethyl)-lysine,NA,chemical reagent,NA,NA,0.0214,"HMOX1,VEGFA",NA
aurothioglucose,NA,chemical drug,NA,NA,0.0214,"HMOX1,LEP",NA
thyroid hormone,NA,chemical - endogenous mammalian,NA,0.0,0.0214,"ATP2A2,CAMK4,CDH4,CDKN2B,DDAH1,DIO2,GCH1,KLF9,LEP,PER1",NA
NGF,-1.015,growth factor,NA,-1.447,0.0214,"ASIC2,ATF3,DUSP1,EGR2,GRIN2A,HMOX1,NR4A1,PLA2G4A,SORT1,VEGFA",NA
miR-3678-5p (miRNAs w/seed CCGUACA),NA,mature microrna,NA,-0.926,0.0215,"APBB2,APCDD1,AXIN2,ENPP1,FSTL3,KLHL42,LRRTM2,SAMD12,VCAM1",NA
GATA3,NA,transcription regulator,NA,0.923,0.0216,"CCR1,CRABP2,EBF1,GLUL,HPS5,LOC102724788/PRODH,NCOA3,NFIL3,RGCC,TJP2,ZBTB16",NA
miR-500a-5p (miRNAs w/seed AAUCCUU),NA,mature microrna,NA,-0.744,0.0216,"ANPEP,ARHGAP28,C7,DNAJC6,EPHA5,ERRFI1,KCTD12,NEGR1,NEIL3,PDK4,SLITRK6,TMEM47,TXNRD1,VASH2,ZCCHC6",NA
hydrocortisone,NA,chemical - endogenous mammalian,NA,1.384,0.0219,"BDKRB2,BRCA1,CD163,CEBPD,GADD45B,GLUL,TNFRSF11B,TUBB",NA
FGF19,NA,growth factor,NA,NA,0.022,"ACSL1,G0S2,LEP,SCD,SCN1B,SERPINA3",NA
miR-375-3p (and other miRNAs w/seed UUGUUCG),NA,mature microrna,NA,0.603,0.0221,"ADAT2,APBB2,C7,CDKN2B,KANK4,KCNE3,KLF5,KLLN,MMD,PDE5A,PRKAG2,RTKN2,TMEM26",NA
miR-339-3p (miRNAs w/seed GAGCGCC),NA,mature microrna,NA,0.01,0.0221,"ADAMTS14,COL1A1,EPHB2,FAM43A,GRAMD4,LBH,LFNG,NAV3,NEGR1,PRKCE,RGS6,SAMD4A,SUN2,TCEAL3,TRPV6,TUBB",NA
miR-410-5p (and other miRNAs w/seed GGUUGUC),NA,mature microrna,NA,-0.884,0.0221,"ABHD5,ALOX15B,ALPK3,CDKN2B,EPHA4,FAM160A1,INPP5A,PIK3R3,PLCXD3,PRKCE,SAT1,SCD,SIGLEC15,SYN2,TSPAN11,WFDC1",NA
miR-1273g-5p (miRNAs w/seed GUGGUUG),NA,mature microrna,NA,-1.375,0.0221,"ABHD5,CDC42EP3,CENPP,CREB5,ERP27,FKBP5,GPX3,HIF3A,KANK4,KCNK6,LIMS2,PIK3R1,PLXDC1,PPP1CB,PTPRCAP,QPRT,ROBO1,SLC7A14,TMEM47,VGLL3",NA
miR-4317 (miRNAs w/seed CAUUGCC),NA,mature microrna,NA,-1.618,0.0222,"AASS,ADAM12,ATF3,CBS/CBSL,CLIC2,IRS2,KLF15,MAMDC2,MAOA,METTL7A,MORF4L2,PDLIM5,PIEZO2,PPP1CB,RASL11B,RGS6,SAMD12,SGCD,TRNP1",NA
CYR61,1.522,other,NA,0.2,0.0222,"COL1A1,CYR61,FZD8,NR4A1,VEGFA",NA
vitamin E,NA,chemical drug,NA,-0.6,0.0222,"ACTA2,KLF6,NFIL3,VCAM1,VEGFA",NA
miR-567 (miRNAs w/seed GUAUGUU),NA,mature microrna,NA,-0.507,0.0225,"ADH1B,CAMK4,CCDC71L,CNIH3,ENPP1,ERRFI1,FST,GFPT2,GPM6B,HSPA4L,P2RY14,PPTC7,PSAT1,SIPA1L2",NA
miR-4742-5p (miRNAs w/seed CAGGCAA),NA,mature microrna,NA,-1.408,0.0226,"ACOT12,AGTRAP,AHCTF1,ARHGAP28,ATP10A,BLNK,CCDC34,CFLAR,CHDH,CREB5,FIBIN,FRZB,GPM6B,GRAMD3,GRIN2A,HIF3A,IRS2,LHFPL2,MAOA,MMD,NEXN,NID1,PPTC7,RAB11FIP1,RNF144B,SEMA3A,SEMA6D,SLC39A10,TEX2,TRPC6",NA
miR-4777-5p (miRNAs w/seed UCUAGAU),NA,mature microrna,NA,-0.641,0.0227,"ADH1B,AHCTF1,ARHGAP28,FOXO3,GALNT15,GPAT3,MYOZ2,NEGR1,NOV,PREB,SGCD,SLC39A10,ST8SIA1,STX11,TNFSF9",NA
RARA,NA,ligand-dependent nuclear receptor,NA,0.422,0.0227,"AASS,ABLIM1,ADH1C,CRABP2,DUSP1,E2F7,EGR2,EGR3,IFI44L,LMO3,METTL7A,NEDD9,SAMHD1",NA
miR-3133 (miRNAs w/seed AAAGAAC),NA,mature microrna,NA,-1.004,0.0227,"CAMK2A,FAM196A,FKBP5,GPR63,HMGB2,KLLN,MEST,MORF4L2,P2RY14,PKIA,SCN7A,TCEAL4,TMEM200A",NA
miR-3154 (miRNAs w/seed AGAAGGG),NA,mature microrna,NA,0.327,0.0228,"ACSL1,ADAT2,AFAP1L1,C20orf96,CCR1,CORIN,CREB5,DAAM2,EVI2A,FAM46A,FER1L6,KANK4,KCNQ3,NAMPT,NFE2,NGF,NPC1L1,NYNRIN,PDZD2,PIK3R1,PREB,RAB11FIP1,RCOR2,SAMHD1,SORL1,STUM,USP53,WNT2",NA
miR-4301 (miRNAs w/seed CCCACUA),NA,mature microrna,NA,-1.495,0.0228,"ACVR1C,CENPP,CPM,DUSP1,EDA,EPHA4,FAM46A,GLUL,GPR63,LBH,MPP3,NKD1,OMD,PKNOX2,RAB11FIP4,SAMD12,SLC16A12,SLC7A6,UBASH3B,VASH2,WASF3",NA
miR-4763-5p (miRNAs w/seed GCCUGCC),NA,mature microrna,NA,0.493,0.0229,"ADAM12,ADAMTS14,AFAP1L2,ATP10A,BDH1,CAMK2A,CD302,CES3,CNIH3,COL4A4,CPM,CYTH3,EFR3B,EMID1,EPHB3,FAM196A,FGFR2,FKBP5,GDF5,GDNF,GPRC5B,IGDCC4,KANK4,KCNK6,KIAA1755,KLF15,KLF5,LMOD1,MARCH10,N4BP3,NAV3,NEDD4L,P2RX7,PDK4,PLCXD3,PLXDC1,RAB11FIP4,RGS6,RND2,RSPO2,SAMD4A,SLC6A6,SLC7A6,STUM,SYN3,TJP2,TPPP,TXNRD1,ULK2,VASH2,WARS,ZNF821",NA
miR-3675-5p (miRNAs w/seed AUGGGGC),NA,mature microrna,NA,-0.085,0.0229,"ABLIM1,ACVR1C,AIF1L,CXCL12,DCXR,EPHA4,FAIM2,FAM160A1,FGFR2,FIBIN,FNDC5,GPAT3,HIF3A,IFI44L,KCND3,KCNQ3,LGI3,MYO16,P2RX7,PIK3R3,RAB11FIP4,RHOB,RHOJ,RNF144B,SLC22A23,SLC51B,SYN3,TEX2,TGFB2,TSPAN11,ZCCHC6",NA
miR-520d-5p (and other miRNAs w/seed UACAAAG),NA,mature microrna,NA,0.0,0.0229,"ANXA4,DDAH1,DKK2,EPHA5,MTSS1,PAIP2B,PDE5A,PLCXD3,PPP1R1B,PSAT1,SLC6A6,SLITRK6,SOX9,TJP2,TSPAN8,UBASH3B,USP53",NA
advanced glycation end-products,NA,chemical - endogenous mammalian,NA,NA,0.023,"CXCL12,FOXO1,ROBO1,VCAM1",NA
STAT1,NA,transcription regulator,Inhibited,-2.211,0.0231,"CEBPD,CH25H,FOXO1,IFIT1,IL12A,KCTD12,NFE2,PRKCE,SAMHD1,SERPINA3,SOCS1,TNFSF13B,TYMP,WARS",NA
cholecalciferol,NA,chemical - endogenous mammalian,NA,-0.149,0.0231,"CEBPD,COL1A1,CYP24A1,DKK2,TGFBR2,TNFRSF11B",NA
IL7R,NA,transmembrane receptor,NA,NA,0.0231,"EBF1,EPHB2,OLAH,PKIA,PRKCE,VCAM1",NA
NCOR1,NA,transcription regulator,NA,NA,0.0231,"CD82,DUSP1,MT1X,PDK4,STEAP2,TSLP",NA
miR-4785 (miRNAs w/seed GAGUCGG),NA,mature microrna,NA,-0.595,0.0233,"ADARB1,C1QTNF1,CDH4,DIO2,E2F7,FGD4,HSPA12B,MMP15,NEDD4L,RAP2B,SCN1B,ZHX3",NA
miR-208a-3p (and other miRNAs w/seed UAAGACG),NA,mature microrna,NA,-0.598,0.0233,"CCDC71L,COL4A3,E2F7,EBF1,EPHA5,FZD8,IRS2,KLHL42,LEP,OMG,SLC7A5,TMEM100,ZNF135",NA
MIR17HG,NA,other,NA,NA,0.0234,"ACTA2,TAGLN,TGFBR2",NA
MTA3,NA,enzyme,NA,NA,0.0234,"BLNK,NCOA3,PRDM1",NA
COL4A3,1.557,other,NA,NA,0.0234,"COL1A1,COL4A1,COL4A4",NA
IFNA4,NA,cytokine,NA,NA,0.0234,"CCL8,IFIT1,MAP3K8",NA
miR-4648 (miRNAs w/seed GUGGGAC),NA,mature microrna,NA,-1.175,0.0234,"ADAMTS1,AGTRAP,CALCOCO2,CFLAR,CORO2B,DIO2,DKK2,DMC1,EDA,ENC1,IRS2,KALRN,KCTD12,LMOD1,MOB3B,NPC1L1,PAIP2B,PDZD2,RHOB,RSPO2,SAMD12,SCRG1,STEAP4,STUM,SYNPO2,VASH2,VEGFA",NA
miR-4497 (miRNAs w/seed UCCGGGA),NA,mature microrna,NA,-0.145,0.0236,"ABAT,ACKR2,ADAMTS14,C1QTNF1,CIDEC,COL1A1,E2F7,EGR2,FAIM2,GRIN2A,ICOSLG/LOC102723996,IRS2,MFGE8,PIK3R1,RGL1,SYN2,SYNPO2,VEGFA",NA
miR-4680-5p (miRNAs w/seed GAACUCU),NA,mature microrna,NA,-1.947,0.0236,"AMPH,ATP10A,AXIN2,COL11A1,CREB5,DMC1,DUSP5,FGF14,FOXO1,KLF9,MAP3K8,NOG,RNF217,RSPO1,TMEM37,WARS,ZHX3,ZNF135",NA
calphostin C,NA,chemical - kinase inhibitor,NA,0.555,0.0236,"ACTA2,DUSP1,NGF,POU2F2,VEGFA",NA
BSCL2,NA,other,NA,NA,0.0236,"ACSL1,CIDEC,FABP4,LEP,PNPLA2",NA
miR-609 (miRNAs w/seed GGGUGUU),NA,mature microrna,NA,-1.09,0.0239,"CD302,COL1A1,CPM,DNAJC6,DOK6,EOGT,EPHA4,FGFR2,FRZB,GRAMD3,HPS5,HSPA12B,IL34,JADE1,P2RY14,PAIP2B,PKD1L2,RASD2,SAMD4A,SIPA1L2,STX11,TMEM37,TRPV6",NA
miR-4800-3p (miRNAs w/seed AUCCGUC),NA,mature microrna,NA,-1.673,0.024,"CDON,CYTH3,FOXO1,IRS2,KLHL42,MYADM,NRXN3,P2RY14,POU2F2",NA
miR-4329 (miRNAs w/seed CUGAGAC),NA,mature microrna,NA,-0.217,0.0242,"ADH1B,ALOX15B,AP1M1,ATF3,CDC42EP3,DNAJC6,ENC1,FAM107A,FAM43A,GALNT15,GPC2,HSD17B6,NEK10,PLEKHG4,RAB11FIP1,SLC14A1,SLC7A5,TMEM200A,USP53,YPEL4,ZNF135",NA
miR-4266 (miRNAs w/seed UAGGAGG),NA,mature microrna,NA,-1.152,0.0243,"ADAMTS5,ALPK3,ANXA4,APBB2,CFLAR,EFR3B,FAM20A,FGFR2,FKBP5,GPR68,HIF3A,LCTL,LGR4,METTL7A,MEX3A,NCOA3,NEDD4L,RPS6KA5,STX11,SYNPO2,TLDC2,TPPP",NA
vancomycin,NA,biologic drug,NA,-0.221,0.0243,"AASS,ADAMTS1,HMOX1,SCD,TSPAN8,TUBB",NA
miR-604 (miRNAs w/seed GGCUGCG),NA,mature microrna,NA,-0.785,0.0244,"ACKR2,C9orf3,CCDC69,CEBPD,CIT,CPM,DKK2,ENDOD1,FAIM2,FAM105A,FAM107A,FAM196A,GDNF,LBH,LHFPL2,PCDHGC5,PDLIM5,PHC2,PKDCC,PLB1,RAB11FIP4,RAPGEF5,RGS6,RHOJ,SLC14A1,SLC22A23,SORL1,STON1,TMEM217,TSPAN11",NA
miR-3177-5p (miRNAs w/seed GUGUACA),NA,mature microrna,NA,-1.559,0.0244,"AHCTF1,B3GALT2,BDH1,CACNB2,CDC42EP3,CORO2B,CUBN,DKK2,EBF1,FAM196A,IQCA1,JADE1,NEDD4L,PDPN,PRR5L,RASD2,RASSF7,RPS6KA5,RSPO1,SAMHD1,SAT1,SSH2,STEAP4,THBS1,TNFSF15,TRIM45",NA
SYVN1,0.309,transporter,NA,0.707,0.0246,"CTPS1,DIO2,DUSP1,PNPLA2,SLC39A10,SLC6A6,SLC7A5,STOM",NA
BMP4,NA,growth factor,NA,-0.138,0.0246,"ACTA2,CYR61,FGFR2,NOG,SOX9,TAGLN,TNFRSF11B,VEGFA",NA
miR-3928-3p (miRNAs w/seed GAGGAAC),NA,mature microrna,NA,-0.554,0.0246,"AIF1L,C10orf10,C4orf46,CFLAR,CILP,ERVMER34-1,FBN2,FGF14,GPR20,HMGB2,LDB2,MMP7,NAV3,NID1,NRXN3,OSBPL3,RASD2,SAMD12,SYN3,TMEM217,ZHX3",NA
miR-4472 (and other miRNAs w/seed GUGGGGG),NA,mature microrna,NA,-0.769,0.0247,"ACSS1,ADAT2,AIF1L,ALOX15B,BEGAIN,C1QTNF1,CAMK2A,CDH4,CDKN2B,CDON,CILP,COL4A3,DDAH1,DNAJC6,E2F7,EGR3,EOGT,EPHB2,FAM107A,FAM196A,FAM20A,FGF14,FSTL3,GPX3,IGDCC4,INPP5A,JADE1,KALRN,KCTD12,KIAA1755,KLF15,LFNG,LMF1,LOC102724788/PRODH,MEX3A,MEX3B,PCYT2,PKNOX2,RGS6,SAMD4A,SCN1B,SLC7A14,SORBS1,STC1,STUM,SUN2,SYN2,SYNPO2,TM4SF1,TMEM217,TMEM35A,TRIM45,TSPAN11,TXNRD1,ULK2",NA
methyl methanesulfonate,NA,chemical toxicant,NA,0.462,0.0249,"ATF3,GADD45B,LIF,TNFSF9",NA
HES3,NA,other,NA,0.0,0.0249,"FAM171B,MFGE8,SCD,TUBA1A",NA
ARNTL,0.694,transcription regulator,NA,-0.799,0.0249,"DBP,PER1,PER3,SCD",NA
RXRB,NA,ligand-dependent nuclear receptor,NA,NA,0.0249,"ACSL1,CYP24A1,FABP4,TSLP",NA
miR-3942-3p (and other miRNAs w/seed UUCAGAU),NA,mature microrna,NA,-0.872,0.0249,"ACTA2,ACVR1C,ALDH6A1,ANGPTL1,C4orf46,CRISPLD2,CSRNP3,EOGT,FAM171B,FAM196A,HSD17B6,KCTD12,LRRTM2,MCTP1,NAV3,OTOGL,PDLIM5,SCN7A,TNFRSF11B,TSC22D1",NA
miR-4674 (miRNAs w/seed UGGGCUC),NA,mature microrna,NA,0.43,0.025,"ADCY4,AFAP1L1,ALDH6A1,ALPK3,BDKRB2,CDC42EP3,CFLAR,CRABP2,CUBN,CXCL12,DIO2,GPR68,ICOSLG/LOC102723996,KCNE3,MCHR1,MPP3,NEK11,NID1,NPC1L1,NUAK1,P2RX7,PCDHGC5,PCYT2,PDPN,PLB1,PRDM1,QPRT,RASL11B,RTKN2,SAMD12,SH3GL3,TNFSF13B,TSPAN11,XDH",NA
miR-4653-3p (miRNAs w/seed GGAGUUA),NA,mature microrna,NA,0.866,0.0254,"ADAM12,AHCTF1,CCDC34,CTTNBP2,FNDC5,GRIN2A,NID1,NRXN3,PDK4,PDZD2,PIEZO2,PLXDC1,RAB11FIP1,TMEM200A,TNFSF15,TSLP",NA
miR-1970 (and other miRNAs w/seed GUGUCAC),NA,mature microrna,NA,0.612,0.0254,"ADAM12,ASIC2,CACNB2,CENPP,EPHB2,FAIM2,FGF14,FNDC5,FOXO3,GRIN2A,GUCY2D,INPP5D,LBH,LRRC4,PDZD2,PER3,PRG4,PRKCE,SCD,TJP2",NA
miR-3130-3p (miRNAs w/seed CUGCACC),NA,mature microrna,NA,-0.733,0.0255,"AFAP1L1,AMOT,ATP2A2,B3GALT2,CCL8,CFLAR,DIO2,EFR3B,FAM171B,FAM46A,FZD5,KLF6,LIF,LMF1,NCOA3,OTOGL,PCYT2,PLPPR4,PRKCE,PRSS35,RND1,SLC38A2,SLC6A6,SSH2,SYN2,TMEM26,TRPV6,ZHX3,ZNF135",NA
miR-379-5p (and other miRNAs w/seed GGUAGAC),NA,mature microrna,NA,-1.654,0.0256,"ACKR4,ADAMTS5,ALOX15B,C7,FAM107A,FAM63B,G0S2,GALNT15,GPX3,HSPA4L,KCNQ3,PLPPR4,PREB,PRKAG2,RAPGEF5,SEMA3A,SLC5A6,ST8SIA1,TEX2",NA
miR-606 (miRNAs w/seed AACUACU),NA,mature microrna,NA,0.47,0.0256,"ACVR1C,CLUL1,CTTNBP2,EPHA4,EPHA5,FIBIN,KLF9,KLHL42,MTSS1,PPP1CB,SCD,SCN1B,STC1,TMEM200A,TNFSF13B,TSC22D1,ZSCAN31",NA
